Template model,Taget model,Target chemical,Target ID,Air condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,TRDR,NADPH,NADH,0.604258337348831,0.582122225183123,3.80265710671743
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,SULRi,NADPH,NADH,0.714877996748241,0.582122225183123,22.8054806743302
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,GAPD,NADH,NADPH,0.826354598310118,0.582122225183123,41.9555142479166
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,TRDR,NADPH,NADH,0.756517987813827,0.714115345121802,5.93778623883118
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,GAPD,NADH,NADPH,0.841361241051082,0.714115345121802,17.8186754840811
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,PDH,NADH,NADPH,0.723230482899681,0.714115345121802,1.27642373744594
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,GAPD,NADH,NADPH,0.826350877509341,0.582119513242431,41.955536399481
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,SULRi,NADPH,NADH,0.841355440061214,0.714112416652842,17.818346305303
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,GAPD,NADH,NADPH,0.84135639041239,0.714112416652842,17.8184793867554
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,PDH,NADH,NADPH,0.723229662827176,0.714112416652842,1.27672421900577
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,sucrose,TRDR,NADPH,NADH,1.63944737722482,1.60563593156789,2.10579777097497
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,sucrose,SULRi,NADPH,NADH,1.63944837873318,1.60563593156789,2.10586014553531
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,sucrose,GAPD,NADH,NADPH,1.63944609078064,1.60563593156789,2.10571765043494
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-xylose,GAPD,NADH,NADPH,0.069805030380626,0.0573883454007191,21.6362484285029
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-xylose,PDH,NADH,NADPH,0.069808858293802,0.0573883454007191,21.6429186211165
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,GAPD,NADH,NADPH,0.379142203000442,0.326570665601793,16.0980586856361
iCW773,iCW773_fum,fumarate(2-),fum,anaerobic,D-glucose,PDH,NADH,NADPH,0.799633354775036,0.788874587179636,1.36381216612198
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,sucrose,PDH,NADH,NADPH,2.46036801260099,2.40746287363526,2.1975474490222
iCW773,iCW773_fum_path_1,fumarate(2-),fum,anaerobic,D-glucose,PDH,NADH,NADPH,0.799633354775036,0.788874587179636,1.36381216612198
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,sucrose,PDH,NADH,NADPH,2.46036801260099,2.40746287363526,2.1975474490222
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,D-glucose,TRDR,NADPH,NADH,0.44968042188772,0.4393415377209,2.35326807942006
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,D-glucose,PDH,NADH,NADPH,0.77436961856196,0.538956344034298,43.6794699855468
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,D-glucose,SULRi,NADPH,NADH,0.673704421051418,0.538956344034298,25.0016682257561
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,fructose,SULRi,NADPH,NADH,0.497304449188848,0.439340406194358,13.1934240914885
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,fructose,TRDR,NADPH,NADH,0.562989495259663,0.53895706509751,4.45906208833268
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,fructose,GAPD,NADH,NADPH,0.776635353576593,0.53895706509751,44.0996702466607
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,fructose,SULRi,NADPH,NADH,0.673704914179645,0.53895706509751,25.0015924845063
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,sucrose,GAPD,NADH,NADPH,1.51334001248197,1.21180249548848,24.8833880204164
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,sucrose,PDH,NADH,NADPH,1.51333818820954,1.21180249548848,24.8832374783569
