Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g)
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-glucose,1.1024102820641,0.183735047010683,0.539133056275995
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,D-glucose,0.888191933397681,0.148031988899613,0.434369707361395
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,D-glucose,0.983550596587062,0.163925099431177,0.481004801721568
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,fructose,1.10237513643309,0.183729189405515,0.539115868327216
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,fructose,0.888192344479287,0.148032057413214,0.434369908400597
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,fructose,0.983545800839848,0.163924300139974,0.481002456364404
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-galactose,1.0950107335396,0.182501788923267,0.535514311716024
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,D-galactose,0.79324106378021,0.132206843963368,0.387934044191525
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,D-galactose,0.888706525696896,0.148117754282816,0.434621368402231
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,glycerol,0.602958105461486,0.200986035153828,0.576843226143262
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,glycerol,0.152089132057547,0.0506963773525157,0.145501959095909
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,glycerol,0.202159748258943,0.0673865827529811,0.19340395348487
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-xylose,0.91120167608739,0.182240335217478,0.534747129092077
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,D-xylose,0.645284731641049,0.129056946328209,0.378691311426987
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,D-xylose,0.724780532769576,0.144956106553915,0.42534415738189
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,L-arabinose,0.911208297681313,0.182241659536262,0.534751015035697
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,L-arabinose,0.645315833376893,0.129063166675378,0.378709563768251
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,L-arabinose,0.724778453674433,0.144955690734886,0.425342937245681
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-glucose,0.664327001331817,0.110721166888636,0.428335072006873
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,D-glucose,0.51871303153942,0.0864521719232366,0.334448220936251
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,D-glucose,0.542042816532275,0.0903404694220459,0.349490459344123
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,fructose,0.656691777549756,0.109448629591626,0.423412143807475
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,fructose,0.514094564198446,0.0856824273664077,0.331470392943272
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,fructose,0.536510240558854,0.0894183734264757,0.345923245723108
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-galactose,0.659706941324532,0.109951156887422,0.425356217117746
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,D-galactose,0.495788549459591,0.0826314249099319,0.319667307827649
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,D-galactose,0.516506460368367,0.0860844100613945,0.333025500168396
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,glycerol,0.384716393525828,0.128238797841942,0.48524422767742
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,glycerol,0.154337092973323,0.0514456976577746,0.194665953263545
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,glycerol,0.197232852847103,0.0657442842823679,0.248770535810249
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-xylose,0.548513696002027,0.109702739200405,0.424395190325433
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,D-xylose,0.403266865397488,0.0806533730794977,0.312015031419882
