Template model,Taget model,Target chemical,Target ID,Air_condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,HSDy,NADPH,NADH,0.63870967886317,0.628742516413462,1.5852534526477
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,LLEUDr,NADH,NADPH,0.67407407559787,0.628742516413462,7.20987653944478
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,ALDD2x,NADH,NADPH,0.650349651689551,0.628742516413462,3.43656341221259
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,glycerol,ALAD_L,NADH,NADPH,0.674074075577125,0.628742516413462,7.20987653614522
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,sucrose,GAPD,NADH,NADPH,2.44311377832054,2.38410596604113,2.47504989794571
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,sucrose,PDH,NADH,NADPH,2.44311377837304,2.38410596604113,2.47504990014739
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,sucrose,VALDHr,NADH,NADPH,2.53333334030337,2.38410596604113,6.25925929416783
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,sucrose,TRDR,NADPH,NADH,2.45669291876498,2.38410596604113,3.04461939854048
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,sucrose,MDH,NADH,NADPH,2.53333333942852,2.38410596604113,6.25925925747303
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,sucrose,GLUDxi,NADH,NADPH,2.53333333942852,2.38410596604113,6.25925925747283
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,sucrose,LLEUDr,NADH,NADPH,2.53333334116848,2.38410596604113,6.25925933045452
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,sucrose,ALDD2x,NADH,NADPH,2.45669291852551,2.38410596604113,3.04461938849645
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,sucrose,ALAD_L,NADH,NADPH,2.53333333885106,2.38410596604113,6.25925923325167
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,GAPD,NADH,NADPH,1.01169590887558,0.986754969294028,2.52757172324187
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,PDH,NADH,NADPH,1.01117318685292,0.986754969294028,2.47459788080621
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,VALDHr,NADH,NADPH,1.04444444705161,0.986754969294028,5.84638330211373
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,TRDR,NADPH,NADH,1.01398601621918,0.986754969294028,2.75965642662408
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,MDH,NADH,NADPH,1.0444444469841,0.986754969294028,5.84638329527258
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,GLUDxi,NADH,NADPH,1.04444444652008,0.986754969294028,5.84638324824782
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,LLEUDr,NADH,NADPH,1.0444444469841,0.986754969294028,5.84638329527269
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,ALDD2x,NADH,NADPH,1.01398601645064,0.986754969294028,2.75965645008056
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,ALAD_L,NADH,NADPH,1.0444444469841,0.986754969294028,5.84638329527285
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,GAPD,NADH,NADPH,1.0116959088759,0.986754969294389,2.52757172323663
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,PDH,NADH,NADPH,1.01117318684953,0.986754969294389,2.47459788042514
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,VALDHr,NADH,NADPH,1.04444444698451,0.986754969294389,5.84638329527507
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,TRDR,NADPH,NADH,1.01398601645065,0.986754969294389,2.75965645004381
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,MDH,NADH,NADPH,1.04444444698451,0.986754969294389,5.84638329527507
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,GLUDxi,NADH,NADPH,1.04444444698451,0.986754969294389,5.84638329527518
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,LLEUDr,NADH,NADPH,1.04444444698451,0.986754969294389,5.84638329527509
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,ALDD2x,NADH,NADPH,1.0139860162506,0.986754969294389,2.75965642977082
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,ALAD_L,NADH,NADPH,1.04444444698451,0.986754969294389,5.84638329527504
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,MDH,NADH,NADPH,0.750000001644316,0.719346050623404,4.26136363636755
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,GLUDxi,NADH,NADPH,0.750000001794165,0.719346050623404,4.26136365719886
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,HSDy,NADPH,NADH,0.733812951345049,0.719346050623404,2.01111839136496
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,ALAD_L,NADH,NADPH,0.750000001644315,0.719346050623404,4.26136363636753
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,GAPD,NADH,NADPH,0.742474918140958,0.719346050623404,3.21526301527759
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,VALDHr,NADH,NADPH,0.7500000017862,0.719346050623404,4.26136365609159
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,LLEUDr,NADH,NADPH,0.750000001636662,0.719346050623404,4.2613636353036
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,ASAD,NADPH,NADH,0.733812951399868,0.719346050623404,2.01111839898562
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,FDH,NADH,NADPH,0.733812951164554,0.719346050623404,2.0111183662735
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,MDH,NADH,NADPH,0.750000001786512,0.707124012139781,6.06343285062362
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,GLUDxi,NADH,NADPH,0.750000001786512,0.707124012139781,6.06343285062356
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,HSDy,NADPH,NADH,0.726840856789744,0.707124012139781,2.78831496476819
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,ALAD_L,NADH,NADPH,0.750000001786511,0.707124012139781,6.06343285062353
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,GAPD,NADH,NADPH,0.739549841010549,0.707124012139781,4.58559295315774
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,VALDHr,NADH,NADPH,0.750000001923201,0.707124012139781,6.06343286995392
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,LLEUDr,NADH,NADPH,0.750000001636662,0.707124012139781,6.0634328294322
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,ASAD,NADPH,NADH,0.726840857024477,0.707124012139781,2.7883149979637
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,fructose,FDH,NADH,NADPH,0.726840856845808,0.707124012139781,2.78831497269675
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,MDH,NADH,NADPH,0.742647059377407,0.712534060478786,4.22618378107946
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,GLUDxi,NADH,NADPH,0.742647059230378,0.712534060478786,4.22618376044479
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,HSDy,NADPH,NADH,0.726618705659972,0.712534060478786,1.97669781171194
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,ALAD_L,NADH,NADPH,0.74264705922635,0.712534060478786,4.2261837598795
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,GAPD,NADH,NADPH,0.735785953709975,0.712534060478786,3.26326761356012
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,VALDHr,NADH,NADPH,0.742647059377408,0.712534060478786,4.22618378107952
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,LLEUDr,NADH,NADPH,0.742647059223531,0.712534060478786,4.22618375948378
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,ASAD,NADPH,NADH,0.72661870558085,0.712534060478786,1.9766978006076
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-galactose,FDH,NADH,NADPH,0.726618705253978,0.712534060478786,1.97669775473292
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,MDH,NADH,NADPH,0.42647058912855,0.396551724928988,7.54475704396926
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,GLUDxi,NADH,NADPH,0.426470589149093,0.396551724928988,7.54475704914983
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,HSDy,NADPH,NADH,0.413301663683697,0.396551724928988,4.22389759058745
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,ALAD_L,NADH,NADPH,0.426470589128553,0.396551724928988,7.54475704397006
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,GAPD,NADH,NADPH,0.414790997603898,0.396551724928988,4.59946875232368
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,VALDHr,NADH,NADPH,0.426470589297453,0.396551724928988,7.54475708656234
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,LLEUDr,NADH,NADPH,0.426470589132376,0.396551724928988,7.54475704493424
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,G3PD1ir,NADH,NADPH,0.41688654440083,0.396551724928988,5.12791098701763
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,ASAD,NADPH,NADH,0.413301663525854,0.396551724928988,4.22389755078354
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,glycerol,FDH,NADH,NADPH,0.41330166360318,0.396551724928988,4.22389757028331
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,MDH,NADH,NADPH,1.50000000357302,1.43869210123632,4.26136365689482
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,GLUDxi,NADH,NADPH,1.50000000327332,1.43869210123632,4.26136363606346
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,HSDy,NADPH,NADH,1.46762590293413,1.43869210123632,2.0111184090708
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,sucrose,ALAD_L,NADH,NADPH,1.5000000032709,1.43869210123632,4.26136363589544
