Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g)
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-glucose,1.00157995425926,0.166929992376544,0.489822047771114
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,D-glucose,0.813186918780379,0.135531153130063,0.397688552056006
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,D-glucose,0.89931187247012,0.149885312078353,0.439807906582924
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,fructose,1.00157858268967,0.166929763781612,0.489821377005867
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,fructose,0.813252794094961,0.13554213234916,0.397720768337241
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,fructose,0.899305124612298,0.149884187435383,0.439804606547293
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-galactose,0.995094093093177,0.165849015515529,0.486650141440099
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,D-galactose,0.728733340868481,0.121455556811413,0.356386582803838
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,D-galactose,0.814795220257289,0.135799203376214,0.398475090883488
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,glycerol,0.544991925957911,0.181663975319303,0.521387635300098
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,glycerol,0.138388496143422,0.0461294987144741,0.132394715077903
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,glycerol,0.18089944240102,0.0602998141336736,0.173064458404212
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-xylose,0.828317731722176,0.165663546344435,0.486105919950057
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,D-xylose,0.593191732223045,0.118638346444609,0.348120053037531
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,D-xylose,0.664910843295599,0.132982168659119,0.390209076525462
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,aerobic,L-arabinose,0.828314570260387,0.165662914052077,0.486104064616974
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,anaerobic,L-arabinose,0.593148200645334,0.118629640129067,0.348094506128634
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,YA,microaerobic,L-arabinose,0.664910506203927,0.132982101240785,0.390208878700097
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-glucose,0.595162779322102,0.0991937965536837,0.383740373980993
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,D-glucose,0.499081094721379,0.0831801824535632,0.321790227126378
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,D-glucose,0.517111447018872,0.086185241169812,0.333415574634718
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,fructose,0.589561663901567,0.0982602773169278,0.380128968495195
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,fructose,0.497409213287946,0.082901535547991,0.320712255806921
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,fructose,0.513373790100048,0.085562298350008,0.33100566273553
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-galactose,0.590567338830591,0.0984278898050985,0.380777392904071
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,D-galactose,0.45532074045815,0.0758867900763584,0.293575064327321
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,D-galactose,0.490511352122123,0.0817518920203539,0.316264753517788
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,glycerol,0.344532665965527,0.114844221988509,0.434560341642579
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,glycerol,0.139165427779837,0.0463884759266125,0.175529875146564
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,glycerol,0.176896849397361,0.0589656164657873,0.223120658513422
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-xylose,0.49104466116228,0.098208932232456,0.379930335288262
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,D-xylose,0.37060528203232,0.0741210564064639,0.286744160355726
iML1515,iML1515_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,D-xylose,0.403781906796265,0.0807563813592532,0.312413528474837
