Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g)
iJN1463,iJN1463_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-glucose,1.16666666869922,0.194444444783203,0.570557601815412
iJN1463,iJN1463_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-glucose,1.05123420948075,0.175205701580125,0.514105430110896
iJN1463,iJN1463_actn__R,(R)-acetoin,actn__R,YT,aerobic,fructose,1.20000000207607,0.200000000346012,0.586859247574449
iJN1463,iJN1463_actn__R,(R)-acetoin,actn__R,YA,aerobic,fructose,1.11207087671549,0.185345146119248,0.543857564024686
iJN1463,iJN1463_actn__R,(R)-acetoin,actn__R,YT,aerobic,glycerol,0.666666667740949,0.222222222580316,0.637792489890379
iJN1463,iJN1463_actn__R,(R)-acetoin,actn__R,YA,aerobic,glycerol,0.599508629575816,0.199836209858605,0.573543151427673
iJN1463,iJN1463_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,D-glucose,0.657894738013151,0.109649123002191,0.424187771104991
iJN1463,iJN1463_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-glucose,0.591170490738326,0.0985284151230543,0.381166284391716
iJN1463,iJN1463_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,fructose,0.710144928782499,0.118357488130416,0.45787688682766
iJN1463,iJN1463_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,fructose,0.636455509038536,0.106075918173089,0.41036449782511
iJN1463,iJN1463_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,glycerol,0.388888890075198,0.129629630025066,0.490507013198542
iJN1463,iJN1463_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,glycerol,0.348838259381059,0.116279419793686,0.439991002739356
iJN1463,iJN1463_fum,fumarate(2-),fum,YT,aerobic,D-glucose,1.77551020756432,0.295918367927387,1.12407149506757
iJN1463,iJN1463_fum,fumarate(2-),fum,YA,aerobic,D-glucose,1.58669387985133,0.264448979975222,1.00453230521596
iJN1463,iJN1463_fum,fumarate(2-),fum,YT,aerobic,fructose,1.91836735351004,0.319727892251673,1.21451403093143
iJN1463,iJN1463_fum,fumarate(2-),fum,YA,aerobic,fructose,1.71526529279878,0.285877548799798,1.0859305758421
iJN1463,iJN1463_fum,fumarate(2-),fum,YT,aerobic,glycerol,1.03225806632223,0.344086022107411,1.27843013836006
iJN1463,iJN1463_fum,fumarate(2-),fum,YA,aerobic,glycerol,0.928271425856235,0.309423808618745,1.14964484765055
iJN1463,iJN1463_fum_path_1,fumarate(2-),fum,YT,aerobic,D-glucose,1.77551020756432,0.295918367927387,1.12407149506757
iJN1463,iJN1463_fum_path_1,fumarate(2-),fum,YA,aerobic,D-glucose,1.58669387985133,0.264448979975222,1.00453230521596
iJN1463,iJN1463_fum_path_1,fumarate(2-),fum,YT,aerobic,fructose,1.91836735351004,0.319727892251673,1.21451403093143
iJN1463,iJN1463_fum_path_1,fumarate(2-),fum,YA,aerobic,fructose,1.71526529279878,0.285877548799798,1.0859305758421
iJN1463,iJN1463_fum_path_1,fumarate(2-),fum,YT,aerobic,glycerol,1.03225806632223,0.344086022107411,1.27843013836006
iJN1463,iJN1463_fum_path_1,fumarate(2-),fum,YA,aerobic,glycerol,0.928271425856235,0.309423808618745,1.14964484765055
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,YT,aerobic,D-glucose,1.27272727621764,0.212121212702941,0.424546626614935
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,YA,aerobic,D-glucose,1.14704584067458,0.191174306779098,0.382622774989393
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,YT,aerobic,fructose,1.33333333576942,0.222222222628238,0.444763132237096
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,YA,aerobic,fructose,1.22845280835206,0.204742134725343,0.409777888387396
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,YT,aerobic,glycerol,0.727272729170907,0.242424243056969,0.474575484055067
iJN1463,iJN1463_2ppoh,propan-2-ol,2ppoh,YA,aerobic,glycerol,0.654161531622165,0.218053843874055,0.426867408975592
iJN1463,iJN1463_met_87755,pentan-3-one,met_87755,YT,aerobic,D-glucose,0.717391305779303,0.119565217629883,0.342983882439888
iJN1463,iJN1463_met_87755,pentan-3-one,met_87755,YA,aerobic,D-glucose,0.644006465172895,0.107334410862149,0.307898682297859
iJN1463,iJN1463_met_87755,pentan-3-one,met_87755,YT,aerobic,fructose,0.768115943382852,0.128019323897142,0.367235267981455
iJN1463,iJN1463_met_87755,pentan-3-one,met_87755,YA,aerobic,fructose,0.689224490872227,0.114870748478704,0.329517363602864
iJN1463,iJN1463_met_87755,pentan-3-one,met_87755,YT,aerobic,glycerol,0.410256410935541,0.136752136978513,0.383699234797984
iJN1463,iJN1463_met_87755,pentan-3-one,met_87755,YA,aerobic,glycerol,0.368928387246883,0.122976129082294,0.345046502890908
iJN1463,iJN1463_3mb,isovalerate,3mb,YT,aerobic,D-glucose,0.868217055999669,0.144702842666611,0.487341147004566
iJN1463,iJN1463_3mb,isovalerate,3mb,YA,aerobic,D-glucose,0.782313829868063,0.130385638311343,0.43912258637497
iJN1463,iJN1463_3mb,isovalerate,3mb,YT,aerobic,fructose,0.923076924673902,0.153846154112317,0.518134680878924
iJN1463,iJN1463_3mb,isovalerate,3mb,YA,aerobic,fructose,0.83783512695354,0.13963918782559,0.470287388330702
iJN1463,iJN1463_3mb,isovalerate,3mb,YT,aerobic,glycerol,0.496124032345223,0.165374677448407,0.544769753031317
iJN1463,iJN1463_3mb,isovalerate,3mb,YA,aerobic,glycerol,0.44614595657358,0.14871531885786,0.489891250439141
iJN1463,iJN1463_uacgam,UDP-N-acetyl-alpha-D-glucosamine(2-),uacgam,YT,aerobic,D-glucose,0.327205882961839,0.0545343138269732,1.09943731249686
iJN1463,iJN1463_uacgam,UDP-N-acetyl-alpha-D-glucosamine(2-),uacgam,YA,aerobic,D-glucose,0.292669787716515,0.0487782979527526,0.983393336157099
iJN1463,iJN1463_uacgam,UDP-N-acetyl-alpha-D-glucosamine(2-),uacgam,YT,aerobic,fructose,0.334851936901215,0.0558086561502025,1.12512865067886
iJN1463,iJN1463_uacgam,UDP-N-acetyl-alpha-D-glucosamine(2-),uacgam,YA,aerobic,fructose,0.300101490243523,0.0500169150405871,1.00836443685861
iJN1463,iJN1463_uacgam,UDP-N-acetyl-alpha-D-glucosamine(2-),uacgam,YT,aerobic,glycerol,0.182692307992052,0.0608974359973507,1.20084674320233
iJN1463,iJN1463_uacgam,UDP-N-acetyl-alpha-D-glucosamine(2-),uacgam,YA,aerobic,glycerol,0.163926313193999,0.0546421043979999,1.07749681137502
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,YT,aerobic,D-glucose,1.31578947616109,0.219298246026849,0.555764469250643
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,YA,aerobic,D-glucose,1.18234098235604,0.197056830392674,0.499398361544534
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,YT,aerobic,fructose,1.42028985754736,0.236714976257894,0.599903444405752
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,YA,aerobic,fructose,1.27291103063863,0.212151838439772,0.537653428730992
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,YT,aerobic,glycerol,0.777777779082599,0.259259259694199,0.642654946750808
iJN1463,iJN1463_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,YA,aerobic,glycerol,0.697675105756812,0.232558368585604,0.57646845924084
iJN1463,iJN1463_met_57484,trimethylenediaminium,met_57484,YT,aerobic,D-glucose,1.31506849616099,0.219178082693499,0.555798351134169
iJN1463,iJN1463_met_57484,trimethylenediaminium,met_57484,YA,aerobic,D-glucose,1.17800000258436,0.19633333376406,0.497867952113332
iJN1463,iJN1463_met_57484,trimethylenediaminium,met_57484,YT,aerobic,fructose,1.42424242668695,0.237373737781159,0.601939438651892
iJN1463,iJN1463_met_57484,trimethylenediaminium,met_57484,YA,aerobic,fructose,1.27345454755427,0.212242424592378,0.538210701451039
iJN1463,iJN1463_met_57484,trimethylenediaminium,met_57484,YT,aerobic,glycerol,0.767123288959508,0.255707762986502,0.634237623952859
iJN1463,iJN1463_met_57484,trimethylenediaminium,met_57484,YA,aerobic,glycerol,0.688119305949433,0.229373101983144,0.568919181417911
iJN1463,iJN1463_mev__R,(R)-mevalonate,mev__R,YT,aerobic,D-glucose,0.817518249810188,0.136253041635031,0.667739001324155
iJN1463,iJN1463_mev__R,(R)-mevalonate,mev__R,YA,aerobic,D-glucose,0.73663126844756,0.122771878074593,0.601671494980722
iJN1463,iJN1463_mev__R,(R)-mevalonate,mev__R,YT,aerobic,fructose,0.857142859440671,0.142857143240111,0.700103902375186
iJN1463,iJN1463_mev__R,(R)-mevalonate,mev__R,YA,aerobic,fructose,0.788910444635521,0.13148507410592,0.644372492672094
iJN1463,iJN1463_mev__R,(R)-mevalonate,mev__R,YT,aerobic,glycerol,0.467153285444708,0.155717761814902,0.746425810128881
iJN1463,iJN1463_mev__R,(R)-mevalonate,mev__R,YA,aerobic,glycerol,0.420093637842791,0.140031212614263,0.671233070015319
iJN1463,iJN1463_met_49243,"(E,R)-alpha-bisabolene",met_49243,YT,aerobic,D-glucose,0.262626263607234,0.0437710439345391,0.297897328424572
iJN1463,iJN1463_met_49243,"(E,R)-alpha-bisabolene",met_49243,YA,aerobic,D-glucose,0.235324588269423,0.0392207647115706,0.266929000912544
iJN1463,iJN1463_met_49243,"(E,R)-alpha-bisabolene",met_49243,YT,aerobic,fructose,0.282485876227032,0.0470809793711721,0.320424114061794
iJN1463,iJN1463_met_49243,"(E,R)-alpha-bisabolene",met_49243,YA,aerobic,fructose,0.253043871412812,0.0421739785688021,0.287028007910216
iJN1463,iJN1463_met_49243,"(E,R)-alpha-bisabolene",met_49243,YT,aerobic,glycerol,0.151515151775207,0.0505050505917359,0.336203687406218
iJN1463,iJN1463_met_49243,"(E,R)-alpha-bisabolene",met_49243,YA,aerobic,glycerol,0.136090974804531,0.0453636582681772,0.30197829732483
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,YT,aerobic,D-glucose,0.787878789357413,0.131313131559568,1.2469291828819
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,YA,aerobic,D-glucose,0.706333574237286,0.117722262372881,1.11787239162014
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,YT,aerobic,fructose,0.821229051713275,0.136871508618879,1.29971067154491
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,YA,aerobic,fructose,0.736012802044688,0.122668800340781,1.16484395092387
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,YT,aerobic,glycerol,0.45933014428159,0.153110048093863,1.42208410311348
iJN1463,iJN1463_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,YA,aerobic,glycerol,0.412210398265101,0.137403466088367,1.27620157703281
iJN1463,iJN1463_subeac,suberate(2-),subeac,YT,aerobic,D-glucose,0.589473686433309,0.0982456144055515,0.563371472138926
iJN1463,iJN1463_subeac,suberate(2-),subeac,YA,aerobic,D-glucose,0.531149916061114,0.0885249860101857,0.507630309926771
iJN1463,iJN1463_subeac,suberate(2-),subeac,YT,aerobic,fructose,0.63157894846109,0.105263158076848,0.603612290345609
iJN1463,iJN1463_subeac,suberate(2-),subeac,YA,aerobic,fructose,0.56882023896246,0.09480337316041,0.543632570515007
iJN1463,iJN1463_subeac,suberate(2-),subeac,YT,aerobic,glycerol,0.336842105755466,0.112280701918488,0.629759540531334
iJN1463,iJN1463_subeac,suberate(2-),subeac,YA,aerobic,glycerol,0.302909623355253,0.100969874451751,0.566319417814137
iJN1463,iJN1463_agm,agmatinium(2+),agm,YT,aerobic,D-glucose,0.861386140303486,0.143564356717247,0.632127967859782
iJN1463,iJN1463_agm,agmatinium(2+),agm,YA,aerobic,D-glucose,0.769782178373487,0.128297029728914,0.564904427111478
iJN1463,iJN1463_agm,agmatinium(2+),agm,YT,aerobic,fructose,0.930693070996552,0.155115511832758,0.682988838737238
iJN1463,iJN1463_agm,agmatinium(2+),agm,YA,aerobic,fructose,0.832147043510616,0.138691173918436,0.610670865205193
iJN1463,iJN1463_agm,agmatinium(2+),agm,YT,aerobic,glycerol,0.504424779635322,0.168141593211774,0.724138257547273
iJN1463,iJN1463_agm,agmatinium(2+),agm,YA,aerobic,glycerol,0.4517165954643,0.1505721984881,0.648471846647161
iJN1463,iJN1463_met_79112,7-hydroxyheptanoic acid,met_79112,YT,aerobic,D-glucose,0.600000002153439,0.100000000358906,0.486859248306516
iJN1463,iJN1463_met_79112,7-hydroxyheptanoic acid,met_79112,YA,aerobic,D-glucose,0.536193104227078,0.0893655173711796,0.435084284557008
iJN1463,iJN1463_met_79112,7-hydroxyheptanoic acid,met_79112,YT,aerobic,fructose,0.648275863181378,0.108045977196896,0.526031830518277
iJN1463,iJN1463_met_79112,7-hydroxyheptanoic acid,met_79112,YA,aerobic,fructose,0.579641380313434,0.0966068967189057,0.470339609489837
iJN1463,iJN1463_met_79112,7-hydroxyheptanoic acid,met_79112,YT,aerobic,glycerol,0.347826087532307,0.115942029177435,0.552118472386155
iJN1463,iJN1463_met_79112,7-hydroxyheptanoic acid,met_79112,YA,aerobic,glycerol,0.312787111401955,0.104262370467318,0.496499682799913
iJN1463,iJN1463_3php,3-phosphonatooxypyruvate(3-),3php,YT,aerobic,D-glucose,2.31707317806739,0.386178863011232,2.3281554230193
iJN1463,iJN1463_3php,3-phosphonatooxypyruvate(3-),3php,YA,aerobic,D-glucose,2.0273929758118,0.337898829301968,2.03708971986996
iJN1463,iJN1463_3php,3-phosphonatooxypyruvate(3-),3php,YT,aerobic,fructose,2.48780488424379,0.414634147373965,2.49970371565779
iJN1463,iJN1463_3php,3-phosphonatooxypyruvate(3-),3php,YA,aerobic,fructose,2.15537942351724,0.35922990391954,2.16568830929686
iJN1463,iJN1463_3php,3-phosphonatooxypyruvate(3-),3php,YT,aerobic,glycerol,1.39024390650885,0.463414635502952,2.73263214997995
iJN1463,iJN1463_3php,3-phosphonatooxypyruvate(3-),3php,YA,aerobic,glycerol,1.18484044148148,0.394946813827162,2.32889571954267
iJN1463,iJN1463_met_11009,(R)-3-phenyllactate,met_11009,YT,aerobic,D-glucose,0.515580737458962,0.0859301229098271,0.472681699092572
iJN1463,iJN1463_met_11009,(R)-3-phenyllactate,met_11009,YA,aerobic,D-glucose,0.462218287645981,0.0770363812743302,0.42375928672772
iJN1463,iJN1463_met_11009,(R)-3-phenyllactate,met_11009,YT,aerobic,fructose,0.543438078531262,0.0905730130885438,0.498221162368785
