Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g)
iJO1366,iJO1366_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-glucose,1.174603175,0.195767196,0.574438945
iJO1366,iJO1366_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-glucose,1.059364194,0.176560699,0.518081394
iJO1366,iJO1366_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,D-glucose,0.719827586,0.119971264,0.464119929
iJO1366,iJO1366_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-glucose,0.643236721,0.10720612,0.414736789
iJO1366,iJO1366_fum,fumarate(2-),fum,YT,aerobic,D-glucose,1.901960784,0.316993464,1.204127069
iJO1366,iJO1366_fum,fumarate(2-),fum,YA,aerobic,D-glucose,1.689965888,0.281660981,1.06991358
iJO1366,iJO1366_fum_path_1,fumarate(2-),fum,YT,aerobic,D-glucose,1.901960784,0.316993464,1.204127069
iJO1366,iJO1366_fum_path_1,fumarate(2-),fum,YA,aerobic,D-glucose,1.689965888,0.281660981,1.06991358
iJO1366,iJO1366_2ppoh,propan-2-ol,2ppoh,YT,aerobic,D-glucose,1.297297297,0.216216216,0.432742506
iJO1366,iJO1366_2ppoh,propan-2-ol,2ppoh,YA,aerobic,D-glucose,1.168790321,0.194798387,0.389876132
iJO1366,iJO1366_met_87755,pentan-3-one,met_87755,YT,aerobic,D-glucose,0.857142857,0.142857143,0.409798924
iJO1366,iJO1366_met_87755,pentan-3-one,met_87755,YA,aerobic,D-glucose,0.7835296389999999,0.130588273,0.374604536
iJO1366,iJO1366_3mb,isovalerate,3mb,YT,aerobic,D-glucose,0.840909091,0.140151515,0.472012843
iJO1366,iJO1366_3mb,isovalerate,3mb,YA,aerobic,D-glucose,0.758412604,0.126402101,0.425706528
iJO1366,iJO1366_uacgam,UDP-N-acetyl-alpha-D-glucosamine(2-),uacgam,YT,aerobic,D-glucose,0.342948718,0.05715812,1.152334467
iJO1366,iJO1366_uacgam,UDP-N-acetyl-alpha-D-glucosamine(2-),uacgam,YA,aerobic,D-glucose,0.304699485,0.050783248,1.02381406
iJO1366,iJO1366_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,YT,aerobic,D-glucose,1.423976608,0.237329435,0.601460658
iJO1366,iJO1366_12ppd__S,"(S)-propane-1,2-diol",12ppd__S,YA,aerobic,D-glucose,1.265128229,0.210854705,0.534366121
iJO1366,iJO1366_met_57484,trimethylenediaminium,met_57484,YT,aerobic,D-glucose,1.371794872,0.228632479,0.579773092
iJO1366,iJO1366_met_57484,trimethylenediaminium,met_57484,YA,aerobic,D-glucose,1.22203767,0.203672945,0.516479958
iJO1366,iJO1366_mev__R,(R)-mevalonate,mev__R,YT,aerobic,D-glucose,0.808988764,0.134831461,0.660772221
iJO1366,iJO1366_mev__R,(R)-mevalonate,mev__R,YA,aerobic,D-glucose,0.72709084,0.121181807,0.593878989
iJO1366,iJO1366_met_49243,"(E,R)-alpha-bisabolene",met_49243,YT,aerobic,D-glucose,0.277992278,0.046332046,0.315327019
iJO1366,iJO1366_met_49243,"(E,R)-alpha-bisabolene",met_49243,YA,aerobic,D-glucose,0.247698356,0.041283059,0.280964583
iJO1366,iJO1366_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,YT,aerobic,D-glucose,0.855855856,0.142642643,1.354512467
iJO1366,iJO1366_2dda7p,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate,2dda7p,YA,aerobic,D-glucose,0.760416517,0.126736086,1.203466268
iJO1366,iJO1366_subeac,suberate(2-),subeac,YT,aerobic,D-glucose,0.631578947,0.105263158,0.603612289
iJO1366,iJO1366_subeac,suberate(2-),subeac,YA,aerobic,D-glucose,0.58401393,0.097335655,0.558153477
iJO1366,iJO1366_agm,agmatinium(2+),agm,YT,aerobic,D-glucose,0.891666667,0.148611111,0.654349323
iJO1366,iJO1366_agm,agmatinium(2+),agm,YA,aerobic,D-glucose,0.794398237,0.132399706,0.582968914
iJO1366,iJO1366_met_79112,7-hydroxyheptanoic acid,met_79112,YT,aerobic,D-glucose,0.580645161,0.096774194,0.47115411
iJO1366,iJO1366_met_79112,7-hydroxyheptanoic acid,met_79112,YA,aerobic,D-glucose,0.516768086,0.086128014,0.419322202
iJO1366,iJO1366_3php,3-phosphonatooxypyruvate(3-),3php,YT,aerobic,D-glucose,2.328571429,0.388095238,2.339708668
iJO1366,iJO1366_3php,3-phosphonatooxypyruvate(3-),3php,YA,aerobic,D-glucose,2.109212247,0.351535375,2.119300322
iJO1366,iJO1366_met_11009,(R)-3-phenyllactate,met_11009,YT,aerobic,D-glucose,0.55912744,0.093187907,0.512605086
iJO1366,iJO1366_met_11009,(R)-3-phenyllactate,met_11009,YA,aerobic,D-glucose,0.496754748,0.082792458,0.455422131
iJO1366,iJO1366_phe__L,L-phenylalanine zwitterion,phe__L,YT,aerobic,D-glucose,0.562130178,0.093688363,0.515430307
iJO1366,iJO1366_phe__L,L-phenylalanine zwitterion,phe__L,YA,aerobic,D-glucose,0.49949207,0.083248678,0.457995962
iJO1366,iJO1366_oxptn,5-oxopentanoate,oxptn,YT,aerobic,D-glucose,0.856,0.142666667,0.546925427
iJO1366,iJO1366_oxptn,5-oxopentanoate,oxptn,YA,aerobic,D-glucose,0.762628367,0.127104728,0.487267343
iJO1366,iJO1366_3hpp,3-hydroxypropionate,3hpp,YT,aerobic,D-glucose,1.830508475,0.305084746,0.905012869
iJO1366,iJO1366_3hpp,3-hydroxypropionate,3hpp,YA,aerobic,D-glucose,1.631502314,0.271917052,0.806623193
