Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g),Max yield (mol/mol),Production flux at max yield (mmol/gDCW/h),Carbon uptake rate at max yield (mmol/gDCW/h)
eciML1515,eciML1515_met_4APAA,2-(4-aminophenyl)acetic acid,met_4APAA,YT,aerobic,D-glucose,0.166666666666666,0.0277777777777776,0.139844228231684,0.609725685785536,4.29485329336114,7.04391071835509
eciML1515,eciML1515_met_4APAA,2-(4-aminophenyl)acetic acid,met_4APAA,YA,aerobic,D-glucose,0.140741568700289,0.0234569281167148,0.118091376330051,0.498686677585565,2.48244879291735,4.9779729527493
eciML1515,eciML1515_met_3HXTYR,3-hydroxytyrosol,met_3HXTYR,YT,aerobic,D-glucose,0.2,0.0333333333333333,0.1711442335382,0.533991228070175,1.523424610087,2.85290193921837
eciML1515,eciML1515_met_3HXTYR,3-hydroxytyrosol,met_3HXTYR,YA,aerobic,D-glucose,0.185557523874704,0.0309262539791175,0.158785501003913,0.46661976789353,3.68991320052622,7.90775156651348
eciML1515,eciML1515_met_46762,"(E,E,E)-geranylgeraniol",met_46762,YT,aerobic,D-glucose,0.0416666666666666,0.00694444444444444,0.0671833377480287,0.197624190064794,0.102768584097607,0.52002026707314
eciML1515,eciML1515_met_46762,"(E,E,E)-geranylgeraniol",met_46762,YA,aerobic,D-glucose,0.0393016486988196,0.00655027478313661,0.0633699825260922,0.166533604030049,1.08595363526817,6.52092796281661
eciML1515,eciML1515_phenol,phenol,phenol,YT,aerobic,D-glucose,0.2,0.0333333333333333,0.104477566871533,0.732492998067539,5.55587552769613,7.58488551065146
eciML1515,eciML1515_phenol,phenol,phenol,YA,aerobic,D-glucose,0.186099071779524,0.031016511963254,0.097215891082878,0.582046682267356,2.79625612191652,4.80417843981815
eciML1515,eciML1515_met_30362,isopentane,met_30362,YT,aerobic,D-glucose,0.249999999999997,0.0416666666666662,0.100119935025156,0.635944700460829,13.0277188068178,20.4856158049237
eciML1515,eciML1515_met_30362,isopentane,met_30362,YA,aerobic,D-glucose,0.249067212664496,0.0415112021107493,0.0997463725954653,0.621373640877634,16.6453577000822,26.7880009788831
eciML1515,eciML1515_met_17756,(S)-mandelate,met_17756,YT,aerobic,D-glucose,0.2,0.0333333333333333,0.167787340607478,0.581521741110555,9.05158102931779,15.5653355488164
eciML1515,eciML1515_met_17756,(S)-mandelate,met_17756,YA,aerobic,D-glucose,0.185990687653134,0.0309984479421891,0.156034414295378,0.512556153164269,4.15949246591029,8.11519370166886
eciML1515,eciML1515_ibutac,isobutyl acetate,ibutac,YT,aerobic,D-glucose,0.666666666666666,0.111111111111111,0.42984360728794,0.75,15.26077427707,20.3476990360933
eciML1515,eciML1515_ibutac,isobutyl acetate,ibutac,YA,aerobic,D-glucose,0.665560047409914,0.110926674568319,0.429130097468115,0.734887450793855,27.94383575639,38.0246468029954
eciML1515,eciML1515_met_35687,butan-2-ol,met_35687,YT,aerobic,D-glucose,0.419651902525444,0.0699419837542407,0.172657536674517,1.0,267.812080447196,267.812080447196
eciML1515,eciML1515_met_35687,butan-2-ol,met_35687,YA,aerobic,D-glucose,0.400193380993207,0.0666988968322011,0.164651710000395,0.998304042206192,246.872100588717,247.291496529598
eciML1515,eciML1515_met_MalSA,malate-semialdehyde,met_MalSA,YT,aerobic,D-glucose,0.499999999999999,0.0833333333333333,0.324941101006528,1.5,8.59039669254029,5.72693112836019
eciML1515,eciML1515_met_MalSA,malate-semialdehyde,met_MalSA,YA,aerobic,D-glucose,0.471522076974851,0.0785870128291418,0.306433805682186,1.39160214106737,7.5650098574452,5.43618727953577
eciML1515,eciML1515_met_HBA,beta-Hydroxy-gamma-butyrolactone,met_HBA,YT,aerobic,D-glucose,0.499999999999999,0.0833333333333332,0.283334188148618,1.35813953775345,4.83535466627216,3.56027825702687
eciML1515,eciML1515_met_HBA,beta-Hydroxy-gamma-butyrolactone,met_HBA,YA,aerobic,D-glucose,0.262094059599148,0.0436823432665247,0.1485204151902,1.04621432902947,3.53892965422271,3.38260484111857
eciML1515,eciML1515_met_HBA_path_1,beta-Hydroxy-gamma-butyrolactone,met_HBA,YT,aerobic,D-glucose,0.5,0.0833333333333333,0.283334188148618,1.35813953488372,9.67752818987433,7.1255772630924
eciML1515,eciML1515_met_HBA_path_1,beta-Hydroxy-gamma-butyrolactone,met_HBA,YA,aerobic,D-glucose,0.45974562400932,0.07662427066822,0.260523306267121,1.20178911708005,9.30363432327849,7.74148658117589
