Template model,Taget model,Target chemical,Target ID,Air_condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,TRDR,NADPH,NADH,0.812499999999999,0.749999999999989,8.33333333333474
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,GAPD,NADH,NADPH,0.833333333333334,0.749999999999989,11.1111111111128
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,SULRi,NADPH,NADH,0.833333333333333,0.749999999999989,11.1111111111126
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,TRDR,NADPH,NADH,0.812500000000012,0.750000000000001,8.33333333333474
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,GAPD,NADH,NADPH,0.833333333333332,0.750000000000001,11.1111111111108
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,SULRi,NADPH,NADH,0.833333333333336,0.750000000000001,11.1111111111112
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-xylose,GAPD,NADH,NADPH,0.533333333333337,0.425000000000001,25.4901960784319
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-xylose,PDH,NADH,NADPH,0.440251572327038,0.425000000000001,3.58860525342057
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,anaerobic,D-xylose,SULRi,NADPH,NADH,0.437500000000009,0.425000000000001,2.94117647059024
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,TRDR,NADPH,NADH,0.566492683797289,0.545449678800856,3.8579186704619
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,GAPD,NADH,NADPH,0.709314775160595,0.545449678800856,30.0422023751096
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,PDH,NADH,NADPH,0.554725061613665,0.545449678800856,1.70050202123148
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,microaerobic,D-xylose,SULRi,NADPH,NADH,0.671707708779457,0.545449678800856,23.1475120227722
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,D-glucose,SULRi,NADPH,NADH,1.19940460646576,1.1699357601713,2.51884311068013
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,D-glucose,PDH,NADH,NADPH,1.20171306209849,1.1699357601713,2.7161578446444
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,D-glucose,GAPD,NADH,NADPH,1.2017130620985,1.1699357601713,2.71615784464447
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,fructose,SULRi,NADPH,NADH,1.19940460646576,1.1699357601713,2.51884311068015
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,fructose,PDH,NADH,NADPH,1.2017130620985,1.1699357601713,2.71615784464494
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,fructose,GAPD,NADH,NADPH,1.2017130620985,1.1699357601713,2.71615784464456
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,sucrose,SULRi,NADPH,NADH,2.80839400428265,2.73987152034261,2.50093785169445
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,sucrose,TRDR,NADPH,NADH,2.78254134584718,2.73987152034261,1.55736592711617
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,sucrose,PDH,NADH,NADPH,2.76741288689896,2.73987152034261,1.0052064978913
iCW773,iCW773_fum,fumarate(2-),fum,microaerobic,sucrose,GAPD,NADH,NADPH,2.80839400428265,2.73987152034261,2.50093785169436
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,SULRi,NADPH,NADH,1.19940460646576,1.1699357601713,2.51884311068013
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,PDH,NADH,NADPH,1.20171306209849,1.1699357601713,2.7161578446444
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,D-glucose,GAPD,NADH,NADPH,1.2017130620985,1.1699357601713,2.71615784464447
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,fructose,SULRi,NADPH,NADH,1.19940460646576,1.1699357601713,2.51884311068015
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,fructose,PDH,NADH,NADPH,1.2017130620985,1.1699357601713,2.71615784464494
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,fructose,GAPD,NADH,NADPH,1.2017130620985,1.1699357601713,2.71615784464456
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,sucrose,SULRi,NADPH,NADH,2.80839400428265,2.73987152034261,2.50093785169445
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,sucrose,TRDR,NADPH,NADH,2.78254134584718,2.73987152034261,1.55736592711617
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,sucrose,PDH,NADH,NADPH,2.76741288689896,2.73987152034261,1.0052064978913
iCW773,iCW773_fum_path_1,fumarate(2-),fum,microaerobic,sucrose,GAPD,NADH,NADPH,2.80839400428265,2.73987152034261,2.50093785169436
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,D-glucose,PDH,NADH,NADPH,0.769230769230769,0.566037735849056,35.8974358974359
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,D-glucose,GAPD,NADH,NADPH,0.769230769230769,0.566037735849056,35.8974358974359
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,D-glucose,TRDR,NADPH,NADH,0.604651162790697,0.566037735849056,6.82170542635653
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,D-glucose,SULRi,NADPH,NADH,0.769230769230769,0.566037735849056,35.8974358974359
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,D-glucose,PDH,NADH,NADPH,0.785702520177895,0.675124237404549,16.378953183262
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,D-glucose,GAPD,NADH,NADPH,0.785702520177895,0.675124237404549,16.3789531832619
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,D-glucose,TRDR,NADPH,NADH,0.729146954832926,0.675124237404549,8.00189275326013
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,D-glucose,SULRi,NADPH,NADH,0.785702520177895,0.675124237404549,16.3789531832619
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,fructose,PDH,NADH,NADPH,0.769230769230769,0.566037735849056,35.8974358974358
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,fructose,GAPD,NADH,NADPH,0.769230769230768,0.566037735849056,35.8974358974358
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,fructose,TRDR,NADPH,NADH,0.604651162790697,0.566037735849056,6.82170542635649
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,fructose,SULRi,NADPH,NADH,0.769230769230769,0.566037735849056,35.8974358974358
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,fructose,PDH,NADH,NADPH,0.785702520177894,0.675124237404549,16.3789531832619
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,fructose,GAPD,NADH,NADPH,0.785702520177894,0.675124237404549,16.3789531832619
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,fructose,TRDR,NADPH,NADH,0.729146954832927,0.675124237404549,8.00189275326026
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,fructose,SULRi,NADPH,NADH,0.785702520177895,0.675124237404549,16.378953183262
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,sucrose,PDH,NADH,NADPH,1.53846153846153,1.50943396226415,1.92307692307682
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,sucrose,GAPD,NADH,NADPH,1.53846153846153,1.50943396226415,1.92307692307689
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,sucrose,TRDR,NADPH,NADH,1.53846153846153,1.50943396226415,1.92307692307684
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,sucrose,SULRi,NADPH,NADH,1.53846153846153,1.50943396226415,1.92307692307687
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,D-xylose,GAPD,NADH,NADPH,0.572327044025157,0.299999999999999,90.7756813417191
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,anaerobic,D-xylose,PDH,NADH,NADPH,0.471380471380471,0.299999999999999,57.1268237934904
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,D-xylose,PDH,NADH,NADPH,0.593948045768177,0.411660134944042,44.281166756386
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,D-xylose,GAPD,NADH,NADPH,0.654752100148245,0.411660134944042,59.0516167510966
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,D-xylose,TRDR,NADPH,NADH,0.421575950732865,0.411660134944042,2.40873840994373
iCW773,iCW773_2ppoh,propan-2-ol,2ppoh,microaerobic,D-xylose,SULRi,NADPH,NADH,0.467274927846568,0.411660134944042,13.5098806470747
iCW773,iCW773_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,MDH,NADH,NADPH,0.330550918196993,0.326059050064176,1.37762412419859
iCW773,iCW773_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,GLUDy,NADPH,NADH,0.333333333333344,0.326059050064176,2.23097112861487
iCW773,iCW773_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,GAPD,NADH,NADPH,0.333333333333344,0.326059050064176,2.23097112861503
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,TMDS2,NADPH,NADH,0.0731707317073252,0.0685714285714405,6.70731707316401
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,HSDy,NADPH,NADH,0.0731707317073105,0.0685714285714405,6.70731707314251
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,SULRi,NADPH,NADH,0.0769230769230814,0.0685714285714405,12.1794871794741
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,PDH,NADH,NADPH,0.102272727272716,0.0685714285714405,49.1477272726861
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,MTHFD,NADPH,NADH,0.0731707317073285,0.0685714285714405,6.7073170731688
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,ASAD,NADPH,NADH,0.0731707317073105,0.0685714285714405,6.7073170731426
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,TRDR,NADPH,NADH,0.0731707317073292,0.0685714285714405,6.70731707316976
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,DHFR,NADPH,NADH,0.0731707317073102,0.0685714285714405,6.70731707314211
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,HISTD,NADH,NADPH,0.0731707317073101,0.0685714285714405,6.70731707314202
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,GAPD,NADH,NADPH,0.109872611464976,0.0685714285714405,60.2308917197291
iCW773,iCW773_met_87755,pentan-3-one,met_87755,anaerobic,D-glucose,GLUDy,NADPH,NADH,0.0784313725490172,0.0685714285714405,14.3790849672968
iCW773,iCW773_met_87755,pentan-3-one,met_87755,microaerobic,D-glucose,TMDS2,NADPH,NADH,0.0927560453334615,0.0869256653410974,6.70731707314014
iCW773,iCW773_met_87755,pentan-3-one,met_87755,microaerobic,D-glucose,HSDy,NADPH,NADH,0.0927560453334869,0.0869256653410974,6.70731707316938
iCW773,iCW773_met_87755,pentan-3-one,met_87755,microaerobic,D-glucose,SULRi,NADPH,NADH,0.095453796738601,0.0869256653410974,9.81083246707299
iCW773,iCW773_met_87755,pentan-3-one,met_87755,microaerobic,D-glucose,PDH,NADH,NADPH,0.117188356439703,0.0869256653410974,34.8144486209624
iCW773,iCW773_met_87755,pentan-3-one,met_87755,microaerobic,D-glucose,MTHFD,NADPH,NADH,0.092756045333487,0.0869256653410974,6.70731707316949
iCW773,iCW773_met_87755,pentan-3-one,met_87755,microaerobic,D-glucose,ASAD,NADPH,NADH,0.0927560453334869,0.0869256653410974,6.70731707316936
iCW773,iCW773_met_87755,pentan-3-one,met_87755,microaerobic,D-glucose,TRDR,NADPH,NADH,0.0927560453334592,0.0869256653410974,6.70731707313754
