Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g)
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-glucose,1.0,0.166666666666668,0.489049372132626
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-glucose,0.929023747812719,0.154837291302119,0.454338480564106
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,anaerobic,D-glucose,0.749999999999989,0.124999999999998,0.366787029099461
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,anaerobic,D-glucose,0.582122225183123,0.0970203708638539,0.284686508730251
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,microaerobic,D-glucose,0.851177730192715,0.141862955032119,0.416267934524017
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,microaerobic,D-glucose,0.714115345121802,0.119019224186967,0.349237661162088
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,aerobic,fructose,1.0,0.166666666666668,0.489049372132626
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,aerobic,fructose,0.929017649189071,0.154836274864845,0.45433549803604
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,anaerobic,fructose,0.750000000000002,0.125,0.366787029099467
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,anaerobic,fructose,0.582119513242431,0.0970199188737385,0.284685182457358
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,microaerobic,fructose,0.851177730192719,0.141862955032119,0.41626793452402
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,microaerobic,fructose,0.714112416652842,0.119018736108807,0.349236228996181
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,aerobic,glycerol,0.500000000000004,0.166666666666668,0.478344366646973
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,aerobic,glycerol,0.461846626757523,0.153948875585841,0.441843464328733
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,anaerobic,glycerol,0.0,0.0,0.0
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,anaerobic,glycerol,0.0,0.0,0.0
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,microaerobic,glycerol,0.4,0.133333333333333,0.382675493317575
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,microaerobic,glycerol,0.0,0.0,0.0
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,aerobic,sucrose,2.0,0.166666666666666,0.51478834956176
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,aerobic,sucrose,1.85045172875502,0.154204310729585,0.476295495694751
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,anaerobic,sucrose,1.66666666666666,0.138888888888888,0.428990291301466
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,anaerobic,sucrose,1.60563593156789,0.133802994297324,0.413281335604448
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,microaerobic,sucrose,1.70235546038543,0.141862955032119,0.438176378909635
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,microaerobic,sucrose,1.66944736233006,0.139120613527505,0.429706026167062
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-xylose,0.833333333333333,0.166666666666666,0.489049372132622
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-xylose,0.777236300546378,0.155447260109275,0.456128309737065
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,anaerobic,D-xylose,0.425000000000001,0.0850000000000002,0.249415179787637
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,anaerobic,D-xylose,0.0573883454007191,0.0114776690801438,0.033678881143142
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YT,microaerobic,D-xylose,0.545449678800856,0.109089935760171,0.320102187536999
iCW773,iCW773_actn__R,(R)-acetoin,actn__R,YA,microaerobic,D-xylose,0.326570665601793,0.0653141331203586,0.191651014763387
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,D-glucose,0.710144927536235,0.118357487922706,0.457876886024113
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-glucose,0.623427060520196,0.103904510086699,0.401964204862378
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,anaerobic,D-glucose,0.571428571428566,0.0952380952380943,0.368437377675374
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,D-glucose,0.51090402961911,0.085150671603185,0.329413246604134
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,microaerobic,D-glucose,0.62113796267973,0.103522993779955,0.400488273752606
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,D-glucose,0.547137244681989,0.0911895407803316,0.352775170403536
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,fructose,0.720000000000004,0.12,0.464231095870978
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,fructose,0.632234907142726,0.105372484523787,0.407643199709378
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,anaerobic,fructose,0.599999999999994,0.0999999999999991,0.386859246559143
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,fructose,0.516634557164193,0.0861057595273655,0.333108092551596
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,microaerobic,fructose,0.653533190578154,0.108922198429692,0.421375596180766
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,fructose,0.560733278563617,0.0934555464272696,0.361541422776268
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,glycerol,0.374999999999994,0.124999999999998,0.472988904141443
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,glycerol,0.338065004451326,0.112688334817108,0.426402655957353
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,anaerobic,glycerol,0.0,0.0,0.0
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,glycerol,0.0,0.0,0.0
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,microaerobic,glycerol,0.166666666666666,0.0555555555555555,0.210217290729533
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,glycerol,0.0,0.0,0.0
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,sucrose,1.48999999999999,0.124166666666666,0.505631367287212
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,sucrose,1.3322782136198,0.111023184468317,0.452108493127213
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,anaerobic,sucrose,1.45,0.120833333333333,0.492057370849972
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,sucrose,1.25504737017489,0.104587280847907,0.425900213283055
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,microaerobic,sucrose,1.49,0.124166666666666,0.505631367287212
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,sucrose,1.35018667419632,0.112515556183026,0.458185727628765
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,D-xylose,0.571794871794871,0.114358974358974,0.442408266577895
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-xylose,0.499084349970554,0.0998168699941108,0.38615079119814
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,anaerobic,D-xylose,0.333333333333334,0.0666666666666668,0.257906164372764
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,anaerobic,D-xylose,0.0432425385873215,0.00864850771746431,0.033457551794392
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YT,microaerobic,D-xylose,0.431620271234832,0.0863240542469664,0.333952585859122
iCW773,iCW773_met_18351,4-hydroxyhexan-3-one,met_18351,YA,microaerobic,D-xylose,0.223716340455098,0.0447432680910196,0.173093469822857
iCW773,iCW773_fum,fumarate(2-),fum,YT,aerobic,D-glucose,1.5,0.25,0.94964660603917
iCW773,iCW773_fum,fumarate(2-),fum,YA,aerobic,D-glucose,1.40648063154549,0.234413438590916,0.89043970547134
iCW773,iCW773_fum,fumarate(2-),fum,YT,anaerobic,D-glucose,1.08,0.18,0.683745556348203
iCW773,iCW773_fum,fumarate(2-),fum,YA,anaerobic,D-glucose,0.788874587179636,0.131479097863272,0.499434716203795
iCW773,iCW773_fum,fumarate(2-),fum,YT,microaerobic,D-glucose,1.1699357601713,0.194989293361884,0.740683682620358
iCW773,iCW773_fum,fumarate(2-),fum,YA,microaerobic,D-glucose,1.02617539159028,0.171029231931714,0.649669318549753
iCW773,iCW773_fum,fumarate(2-),fum,YT,aerobic,fructose,1.5,0.25,0.94964660603917
iCW773,iCW773_fum,fumarate(2-),fum,YA,aerobic,fructose,1.40646333635944,0.234410556059907,0.890428755928184
iCW773,iCW773_fum,fumarate(2-),fum,YT,anaerobic,fructose,1.08,0.18,0.683745556348202
iCW773,iCW773_fum,fumarate(2-),fum,YA,anaerobic,fructose,0.788833371794273,0.131472228632378,0.499408622836577
