Template model,Target model,Target chemical,Target ID,Yield type,Oxygen availability,Carbon source,molar yield (mol/mol),molar yield (mol/C mol),gram yield (g/g)
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-glucose,1.0000000023283,0.166666667054717,0.489049373271278
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-glucose,0.910015902394148,0.151669317065691,0.445042705696559
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YT,aerobic,fructose,1.0000000023283,0.166666667054717,0.489049373271278
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YA,aerobic,fructose,0.910016299235622,0.151669383205937,0.445042899771633
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-galactose,1.0000000006574,0.166666666776233,0.489049372454124
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-galactose,0.897853735634447,0.149642289272407,0.439094805678955
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YT,aerobic,glycerol,0.500000001164153,0.166666667054717,0.478344367760701
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YA,aerobic,glycerol,0.476200241490774,0.158733413830258,0.455575405826076
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YT,aerobic,sucrose,2.00000000465661,0.166666667054717,0.514788350760345
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YA,aerobic,sucrose,1.82003179958146,0.151669316631789,0.468465583128232
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YT,aerobic,D-xylose,0.833333335273588,0.166666667054717,0.489049373271278
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YA,aerobic,D-xylose,0.746184422218624,0.149236884443724,0.437905227817393
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YT,aerobic,L-arabinose,0.833333335273588,0.166666667054717,0.489049373271278
iYO844,iYO844_actn__R,(R)-acetoin,actn__R,YA,aerobic,L-arabinose,0.746184399820037,0.149236879964007,0.437905214672576
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,D-glucose,0.719827587773662,0.119971264628943,0.464119930431011
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-glucose,0.50976603116764,0.0849610051946067,0.328679504564932
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,fructose,0.714285716038794,0.119047619339799,0.460546723224547
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,fructose,0.50865687448673,0.0847761457477884,0.327964358701778
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,D-galactose,0.717592592971766,0.119598765495294,0.462678883089136
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-galactose,0.503342246505524,0.0838903744175874,0.324537670407525
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,glycerol,0.416666667462482,0.13888888915416,0.525543227827599
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,glycerol,0.302807487432858,0.100935829144286,0.381932217724517
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,sucrose,1.4428571459935,0.120238095499459,0.489633443979075
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,sucrose,1.02032085967802,0.0850267383065018,0.346245792852793
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,D-xylose,0.59722222352735,0.11944444470547,0.462081878844337
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,D-xylose,0.418315509442151,0.0836631018884303,0.323658445613592
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YT,aerobic,L-arabinose,0.597222223644628,0.119444444728925,0.462081878935078
iYO844,iYO844_met_18351,4-hydroxyhexan-3-one,met_18351,YA,aerobic,L-arabinose,0.418315509508302,0.0836631019016606,0.323658445664775
iYO844,iYO844_fum,fumarate(2-),fum,YT,aerobic,D-glucose,1.92000000462114,0.32000000077019,1.21554765865577
iYO844,iYO844_fum,fumarate(2-),fum,YA,aerobic,D-glucose,1.34682353462832,0.224470589104721,0.852670932395647
iYO844,iYO844_fum,fumarate(2-),fum,YT,aerobic,fructose,1.92000000451773,0.320000000752956,1.2155476585903
iYO844,iYO844_fum,fumarate(2-),fum,YA,aerobic,fructose,1.34682353221094,0.224470588701823,0.852670930865206
iYO844,iYO844_fum,fumarate(2-),fum,YT,aerobic,D-galactose,1.90000000153472,0.316666666922454,1.20288570195457
iYO844,iYO844_fum,fumarate(2-),fum,YA,aerobic,D-galactose,1.32882353105568,0.22147058850928,0.841275170861342
iYO844,iYO844_fum,fumarate(2-),fum,YT,aerobic,glycerol,1.0000000023283,0.333333334109435,1.23847919725295
iYO844,iYO844_fum,fumarate(2-),fum,YA,aerobic,glycerol,0.799411767136964,0.266470589045654,0.990054841333201
iYO844,iYO844_fum,fumarate(2-),fum,YT,aerobic,sucrose,3.84000000840545,0.320000000700454,1.27952269961611
iYO844,iYO844_fum,fumarate(2-),fum,YA,aerobic,sucrose,2.693647068128,0.224470589010666,0.897547541895804
iYO844,iYO844_fum,fumarate(2-),fum,YT,aerobic,D-xylose,1.58000000350158,0.316000000700317,1.20035331269372
iYO844,iYO844_fum,fumarate(2-),fum,YA,aerobic,D-xylose,1.10435294411955,0.22087058882391,0.838996020201999
iYO844,iYO844_fum,fumarate(2-),fum,YT,aerobic,L-arabinose,1.58000000350268,0.316000000700537,1.20035331269456
iYO844,iYO844_fum,fumarate(2-),fum,YA,aerobic,L-arabinose,1.10435293574503,0.220870587149007,0.838996013839733
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YT,aerobic,D-glucose,1.92000000460402,0.320000000767336,1.21554765864493
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YA,aerobic,D-glucose,1.34682353368732,0.224470588947887,0.8526709317999
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YT,aerobic,fructose,1.9200000042019,0.320000000700317,1.21554765839035
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YA,aerobic,fructose,1.34682412267551,0.224470687112585,0.852671304686989
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YT,aerobic,D-galactose,1.90000000142437,0.316666666904062,1.20288570188471
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YA,aerobic,D-galactose,1.32882353267078,0.221470588778464,0.841275171883862
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YT,aerobic,glycerol,1.00000000239678,0.333333334132262,1.23847919733776
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YA,aerobic,glycerol,0.799411767557072,0.26647058918569,0.990054841853496
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YT,aerobic,sucrose,3.84000000840381,0.320000000700318,1.27952269961557
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YA,aerobic,sucrose,2.69364697122867,0.224470580935723,0.897547509608074
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YT,aerobic,D-xylose,1.58000000350159,0.316000000700318,1.20035331269372
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YA,aerobic,D-xylose,1.10435293776615,0.220870587553231,0.838996015375213
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YT,aerobic,L-arabinose,1.58000000350268,0.316000000700537,1.20035331269456
iYO844,iYO844_fum_path_1,fumarate(2-),fum,YA,aerobic,L-arabinose,1.10435294407965,0.22087058881593,0.838996020171685
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YT,aerobic,D-glucose,1.19205298302836,0.198675497171394,0.397635913166693
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YA,aerobic,D-glucose,0.975962523302644,0.16266042055044,0.325554111012768
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YT,aerobic,fructose,1.17365269749758,0.195608782916263,0.391498086707862
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YA,aerobic,fructose,0.974030769409391,0.162338461568231,0.324909731329739
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YT,aerobic,D-galactose,1.18543046450494,0.197571744084157,0.395426824109397
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YA,aerobic,D-galactose,0.970353721976238,0.161725620329373,0.323683169981665
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YT,aerobic,glycerol,0.628742516413462,0.209580838804487,0.410280452029434
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YA,aerobic,glycerol,0.522119425072267,0.174039808357422,0.340704482582071
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YT,aerobic,sucrose,2.38410596604113,0.198675497170094,0.418563742494112
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YA,aerobic,sucrose,1.95192499048892,0.162660415874077,0.342688219703374
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YT,aerobic,D-xylose,0.986754969294028,0.197350993858805,0.394985007082693
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YA,aerobic,D-xylose,0.807693287922563,0.161538657584512,0.323308976370278
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YT,aerobic,L-arabinose,0.986754969294389,0.197350993858877,0.394985007082837
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,YA,aerobic,L-arabinose,0.807693287696877,0.161538657539375,0.323308976279938
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YT,aerobic,D-glucose,0.719346050623404,0.119891008437234,0.343918443495212
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YA,aerobic,D-glucose,0.520663179997365,0.0867771966662276,0.248928412541889
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YT,aerobic,fructose,0.707124012139781,0.117854002023296,0.33807510224383
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YA,aerobic,fructose,0.514056916480853,0.0856761527468089,0.245769966250359
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YT,aerobic,D-galactose,0.712534060478786,0.118755676746464,0.340661639561123
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YA,aerobic,D-galactose,0.514578620239088,0.0857631033731814,0.24601939216205
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YT,aerobic,glycerol,0.396551724928988,0.132183908309662,0.370881695830416
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YA,aerobic,glycerol,0.298208659896212,0.0994028866320706,0.278904683905809
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YT,aerobic,sucrose,1.43869210123632,0.11989100843636,0.362019088456058
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YA,aerobic,sucrose,1.04132635842819,0.0867771965356831,0.262029671768886
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YT,aerobic,D-xylose,0.592643053079242,0.118528610615848,0.340010279369647
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YA,aerobic,D-xylose,0.427801425708001,0.0855602851416002,0.245437589311051
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YT,aerobic,L-arabinose,0.592643053181542,0.118528610636308,0.340010279428338
iYO844,iYO844_met_87755,pentan-3-one,met_87755,YA,aerobic,L-arabinose,0.427801425423055,0.085560285084611,0.245437589147573
iYO844,iYO844_3mb,isovalerate,3mb,YT,aerobic,D-glucose,0.77922078163883,0.129870130273138,0.437386419524344
iYO844,iYO844_3mb,isovalerate,3mb,YA,aerobic,D-glucose,0.646361144667582,0.107726857444597,0.362810635249262
iYO844,iYO844_3mb,isovalerate,3mb,YT,aerobic,fructose,0.776119404892282,0.129353234148713,0.43564557777226
iYO844,iYO844_3mb,isovalerate,3mb,YA,aerobic,fructose,0.645488644952053,0.107581440825342,0.36232089019163
iYO844,iYO844_3mb,isovalerate,3mb,YT,aerobic,D-galactose,0.775974026580559,0.129329004430093,0.435563975098487
iYO844,iYO844_3mb,isovalerate,3mb,YA,aerobic,D-galactose,0.642646534644605,0.1071077557741,0.360725577950787
iYO844,iYO844_3mb,isovalerate,3mb,YT,aerobic,glycerol,0.400000000958851,0.13333333365295,0.439220613250299
iYO844,iYO844_3mb,isovalerate,3mb,YA,aerobic,glycerol,0.34600762957981,0.115335876526603,0.379934207222565
iYO844,iYO844_3mb,isovalerate,3mb,YT,aerobic,sucrose,1.55844156183707,0.129870130153089,0.46040634269227
iYO844,iYO844_3mb,isovalerate,3mb,YA,aerobic,sucrose,1.2927222896512,0.107726857470933,0.381905588293922
iYO844,iYO844_3mb,isovalerate,3mb,YT,aerobic,D-xylose,0.646103897518696,0.129220779503739,0.4351994870292
iYO844,iYO844_3mb,isovalerate,3mb,YA,aerobic,D-xylose,0.534919678890096,0.106983935778019,0.360308567629494
