Template model,Taget model,Target chemical,Target ID,Air condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,D-glucose,GAPD,NADH,NADPH,1.08085997519006,1.05199507731515,2.74382442440521
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,FLDR2,NADPH,NADH,1.05614098064859,0.850703112957367,24.1491848991887
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,FLDR2,NADPH,NADH,1.07379282951912,0.941410285117323,14.0621519113006
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,GAPD,NADH,NADPH,1.12345145648731,0.941410285117323,19.337070589504
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,fructose,GAPD,NADH,NADPH,1.08085121131724,1.05199458784237,2.74303915707936
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,FLDR2,NADPH,NADH,1.05613957809952,0.850703230482312,24.1490028785637
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,GAPD,NADH,NADPH,1.08928198311289,0.850703230482312,28.044886169683
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,FLDR2,NADPH,NADH,1.07375709253206,0.941411101543416,14.0582568839129
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,GAPD,NADH,NADPH,1.12343493783264,0.941411101543416,19.3352124264101
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,D-galactose,GAPD,NADH,NADPH,1.07220175746056,1.04513927332671,2.58936630021648
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-galactose,FLDR2,NADPH,NADH,1.03391545189175,0.761065283812595,35.8510858243732
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-galactose,GAPD,NADH,NADPH,1.05579633439138,0.761065283812595,38.7261194075654
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,FLDR2,NADPH,NADH,1.05148492120355,0.851730164427631,23.4528216938467
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,glycerol,GLYCDx,NADH,NADPH,0.589813172201052,0.573984827946188,2.75762415384743
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,glycerol,FLDR2,NADPH,NADH,0.581223712186485,0.573984827946188,1.26116299383709
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,glycerol,GAPD,NADH,NADPH,0.589668680933591,0.573984827946188,2.7324507937817
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,glycerol,GLYCDx,NADH,NADPH,0.346510366056871,0.14653459029105,136.470013918641
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,GLYCDx,NADH,NADPH,0.391507529283798,0.19153443261203,104.405820898444
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,FLDR2,NADPH,NADH,0.518696738124839,0.19153443261203,170.811222322362
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,glycerol,GAPD,NADH,NADPH,0.391318628152831,0.19153443261203,104.307195743484
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,D-xylose,GAPD,NADH,NADPH,0.892070319835306,0.869807454671581,2.55951648197017
