Template model,Taget model,Target chemical,Target ID,Air condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,ALAD_L,NADH,NADPH,0.837294941028552,0.807693287922563,3.66496212716165
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,MDH,NADH,NADPH,0.837294943739665,0.807693287922563,3.66496246282286
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,PDH,NADH,NADPH,0.837294943955704,0.807693287922563,3.66496248957051
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,VALDHr,NADH,NADPH,0.837294944464691,0.807693287922563,3.66496255258783
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,GAPD,NADH,NADPH,0.837294943188687,0.807693287922563,3.66496239460656
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,D-xylose,GLUDxi,NADH,NADPH,0.837294943988958,0.807693287922563,3.66496249368764
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,LLEUDr,NADH,NADPH,0.837294944680481,0.807693287696877,3.66496260827091
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,ALAD_L,NADH,NADPH,0.837294945295121,0.807693287696877,3.66496268436906
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,MDH,NADH,NADPH,0.837294944139019,0.807693287696877,3.6649625412328
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,PDH,NADH,NADPH,0.837294943320879,0.807693287696877,3.66496243993945
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,VALDHr,NADH,NADPH,0.837294945176404,0.807693287696877,3.66496266967084
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,GAPD,NADH,NADPH,0.837294943320873,0.807693287696877,3.6649624399387
iYO844,iYO844_2ppoh,propan-2-ol,2ppoh,aerobic,L-arabinose,GLUDxi,NADH,NADPH,0.837294944228366,0.807693287696877,3.66496255229487
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,LLEUDr,NADH,NADPH,0.537271404807649,0.520663179997365,3.1898212603334
iYO844,iYO844_met_87755,pentan-3-one,met_87755,aerobic,D-glucose,OIVD2,NADH,NADPH,0.529678364385436,0.520663179997365,1.73148106768692
