Template model,Taget model,Target chemical,Target ID,Air_condition,Carbon source,Target reaction,Previous cofactor,New cofactor,Improved YT (mol/mol),Previous YT (mol/mol),Increased percentage (%)
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,D-glucose,FLDR2,NADPH,NADH,1.1864406779661,1.17460317460317,1.00778744846483
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,D-glucose,GAPD,NADH,NADPH,1.20000000000008,1.17460317460317,2.16216216216871
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,ACALD,NADH,NADPH,1.09090909090909,1.07692307692306,1.29870129870224
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,HSDy,NADPH,NADH,1.09090909090909,1.07692307692306,1.29870129870242
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,THRD,NADH,NADPH,1.09090909090909,1.07692307692306,1.29870129870197
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,FLDR2,NADPH,NADH,1.1578947368421,1.07692307692306,7.51879699248196
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,GAPD,NADH,NADPH,1.19999999999999,1.07692307692306,11.4285714285714
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,GLUDy,NADPH,NADH,1.09090909090909,1.07692307692306,1.29870129870195
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,DSERDHr,NADPH,NADH,1.09090909090908,1.07692307692306,1.29870129870146
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,ASAD,NADPH,NADH,1.09090909090909,1.07692307692306,1.29870129870222
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-glucose,MTHFD,NADPH,NADH,1.09090909091947,1.07692307692306,1.29870129966596
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,ACALD,NADH,NADPH,1.13636363636363,1.11538461538461,1.88087774294685
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,HSDy,NADPH,NADH,1.13636363636363,1.11538461538461,1.88087774294725
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,THRD,NADH,NADPH,1.13636363636364,1.11538461538461,1.88087774294754
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,FLDR2,NADPH,NADH,1.17894736842105,1.11538461538461,5.69872958257773
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,GLUDy,NADPH,NADH,1.13636363636363,1.11538461538461,1.88087774294696
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,GAPD,NADH,NADPH,1.19999999999999,1.11538461538461,7.5862068965516
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,DSERDHr,NADPH,NADH,1.13636363636363,1.11538461538461,1.88087774294691
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,ASAD,NADPH,NADH,1.13636363636363,1.11538461538461,1.88087774294705
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-glucose,MTHFD,NADPH,NADH,1.13636363636363,1.11538461538461,1.880877742947
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,fructose,FLDR2,NADPH,NADH,1.1864406779661,1.17460317460317,1.0077874484657
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,fructose,GAPD,NADH,NADPH,1.2,1.17460317460317,2.16216216216293
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,ACALD,NADH,NADPH,1.09090909090909,1.07692307692307,1.29870129870171
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,HSDy,NADPH,NADH,1.09090909090909,1.07692307692307,1.29870129870148
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,THRD,NADH,NADPH,1.09090909090909,1.07692307692307,1.29870129870197
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,FLDR2,NADPH,NADH,1.1578947368421,1.07692307692307,7.51879699248168
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,GLUDy,NADPH,NADH,1.09090909090909,1.07692307692307,1.29870129870151
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,GAPD,NADH,NADPH,1.19999999999999,1.07692307692307,11.4285714285714
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,DSERDHr,NADPH,NADH,1.09090909090909,1.07692307692307,1.29870129870177
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,ASAD,NADPH,NADH,1.09090909090909,1.07692307692307,1.29870129870235
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,fructose,MTHFD,NADPH,NADH,1.09090909090909,1.07692307692307,1.29870129870188
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,ACALD,NADH,NADPH,1.13636363636363,1.11538461538461,1.88087774294702
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,HSDy,NADPH,NADH,1.13636363636363,1.11538461538461,1.88087774294651
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,THRD,NADH,NADPH,1.13636363636361,1.11538461538461,1.8808777429454
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,FLDR2,NADPH,NADH,1.17894736842104,1.11538461538461,5.69872958257695
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,GAPD,NADH,NADPH,1.20000000000001,1.11538461538461,7.5862068965538
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,GLUDy,NADPH,NADH,1.13636363636363,1.11538461538461,1.88087774294682
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,DSERDHr,NADPH,NADH,1.13636363636363,1.11538461538461,1.88087774294702
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,ASAD,NADPH,NADH,1.13636363636363,1.11538461538461,1.88087774294711
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,fructose,MTHFD,NADPH,NADH,1.13636363636363,1.11538461538461,1.880877742947
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,aerobic,D-galactose,GAPD,NADH,NADPH,1.19841269841269,1.16666666666666,2.72108843537459
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-galactose,FLDR2,NADPH,NADH,1.13157894736841,1.03846153846154,8.96686159843971
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,anaerobic,D-galactose,GAPD,NADH,NADPH,1.19230769230769,1.03846153846154,14.8148148148147
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,ACALD,NADH,NADPH,1.09090909090909,1.07692307692307,1.29870129870126
iML1515,iML1515_actn__R,(R)-acetoin,actn__R,microaerobic,D-galactose,HSDy,NADPH,NADH,1.0909090909091,1.07692307692307,1.29870129870242
